@relation segment

@attribute LOG1_2 numeric
@attribute LOG1_4 numeric
@attribute LOG1_6 numeric
@attribute LOG1_8 numeric
@attribute LOG_2 numeric
@attribute LOG_4 numeric
@attribute LOG_8 numeric
@attribute class {class1,class2}

@data
-3362.363525,-1385.645996,-811.073608,-696.515625,-3362.363525,-1385.645996,-696.515625,class1
-3362.363525,-1411.300171,-841.847412,-657.859192,-3362.363525,-1411.300171,-657.859192,class1
-3395.098145,-1482.996338,-907.379456,-652.704346,-3395.098145,-1482.996338,-652.704346,class1
-3500.575684,-1633.493164,-988.96936,-661.22113,-3500.575684,-1633.493164,-661.22113,class1
-3849.244141,-1900.605835,-1079.824463,-685.992676,-3849.244141,-1900.605835,-685.992676,class1
-4908.301758,-2269.732178,-1198.379761,-739.842529,-4908.301758,-2269.732178,-739.842529,class1
-5317.712891,-2554.681396,-1356.945068,-838.090027,-5317.712891,-2554.681396,-838.090027,class1
-4210.96875,-2633.48291,-1515.883057,-968.4729,-4210.96875,-2633.48291,-968.4729,class1
-4723.936523,-2514.051025,-1591.608643,-1078.46814,-4723.936523,-2514.051025,-1078.46814,class1
-4746.386719,-2193.677246,-1522.710693,-1105.141846,-4746.386719,-2193.677246,-1105.141846,class1
-3862.01123,-1793.547974,-1329.163208,-1044.826416,-3862.01123,-1793.547974,-1044.826416,class1
-3610.435059,-1551.800293,-1114.219971,-957.156738,-3610.435059,-1551.800293,-957.156738,class1
-3566.291016,-1512.355957,-1020.692871,-925.876099,-3566.291016,-1512.355957,-925.876099,class1
-3413.401855,-1586.293823,-1103.115356,-983.174194,-3413.401855,-1586.293823,-983.174194,class1
-3647.059082,-1818.614868,-1331.023926,-1095.936279,-3647.059082,-1818.614868,-1095.936279,class1
-4100.933594,-2227.89502,-1607.155273,-1193.233398,-4100.933594,-2227.89502,-1193.233398,class1
-4978.450195,-2653.240723,-1761.617554,-1186.445068,-4978.450195,-2653.240723,-1186.445068,class1
-7633.448242,-2643.279785,-1603.147949,-1010.823975,-7633.448242,-2643.279785,-1010.823975,class1
-3538.756592,-1808.137451,-1043.714844,-658.895508,-3538.756592,-1808.137451,-658.895508,class1
-594.097534,-469.248413,-243.806686,-213.24678,-594.097534,-469.248413,-213.24678,class1
-3362.363525,-1382.588135,-768.508667,-650.587097,-3362.363525,-1382.588135,-650.587097,class1
-3362.363525,-1391.380493,-778.881226,-627.52124,-3362.363525,-1391.380493,-627.52124,class1
-3368.725586,-1411.569824,-811.144653,-636.537842,-3368.725586,-1411.569824,-636.537842,class1
-3397.078369,-1481.142334,-891.954224,-674.768799,-3397.078369,-1481.142334,-674.768799,class1
-3424.547119,-1672.297852,-1038.662231,-744.596191,-3424.547119,-1672.297852,-744.596191,class1
-3451.259277,-1983.300415,-1246.088379,-845.585388,-3451.259277,-1983.300415,-845.585388,class1
-3591.73291,-2228.445068,-1458.433716,-967.993652,-3591.73291,-2228.445068,-967.993652,class1
-3940.724121,-2290.955566,-1594.744873,-1080.062866,-3940.724121,-2290.955566,-1080.062866,class1
-4104.600586,-2159.066895,-1592.837891,-1132.716919,-4104.600586,-2159.066895,-1132.716919,class1
-3288.256836,-1889.870483,-1448.015625,-1089.304199,-3288.256836,-1889.870483,-1089.304199,class1
-3055.726318,-1629.337036,-1222.742188,-974.155762,-3055.726318,-1629.337036,-974.155762,class1
-2871.69458,-1496.160645,-1014.986267,-861.374512,-2871.69458,-1496.160645,-861.374512,class1
-3382.963379,-1481.289307,-936.545532,-832.866699,-3382.963379,-1481.289307,-832.866699,class1
-3443.430176,-1520.208862,-1035.720459,-926.045715,-3443.430176,-1520.208862,-926.045715,class1
-3446.431885,-1718.686279,-1299.783691,-1097.790405,-3446.431885,-1718.686279,-1097.790405,class1
-3874.35791,-2257.787109,-1664.433838,-1268.182373,-3874.35791,-2257.787109,-1268.182373,class1
-5272.729492,-2985.647949,-1920.223755,-1314.644897,-5272.729492,-2985.647949,-1314.644897,class1
-6823.088867,-3252.945801,-1805.394653,-1127.509521,-6823.088867,-3252.945801,-1127.509521,class1
