@relation 'Zernike Moment'

@attribute 'Z0,0' numeric
@attribute 'Z0,2' numeric
@attribute 'Z1,1' numeric
@attribute 'Z1,3' numeric
@attribute 'Z2,0' numeric
@attribute 'Z2,2' numeric
@attribute 'Z3,1' numeric
@attribute 'Z3,3' numeric
@attribute 'Z4,0' numeric
@attribute 'Z4,2' numeric
@attribute 'Z5,1' numeric
@attribute 'Z5,3' numeric
@attribute 'Z6,0' numeric
@attribute 'Z6,2' numeric
@attribute 'Z7,1' numeric
@attribute 'Z7,3' numeric

@data
27605120.893348,0,9817071.149784,0,-9074704.698441,-85223.961002,-7474284.314935,-2542153.36935,-2352409.348599,71284.442635,1596334.316714,2689178.466156,1814618.468138,47750.379134,82306.927154,-768263.2684
25110625.94632,0,8910198.25192,0,-8276238.361287,-74241.131695,-6779685.854107,-2284677.121807,-2056934.358972,21154.274821,1447841.509623,2361505.849206,1525487.133011,101437.704614,81485.604576,-627005.043709
26776612.462432,0,9371282.490552,0,-8879927.949742,-240434.355041,-7129321.691666,-2510134.732157,-2152690.977085,296805.833129,1577972.633361,2695922.199329,1724752.902538,-69477.269573,51346.856151,-869568.433527
24988691.933149,0,8813810.536578,0,-8314328.061463,-98535.533384,-6738318.090391,-2244885.874818,-2013139.071709,93971.681242,1485956.681355,2361431.573544,1629272.583973,34775.286886,100882.744091,-714471.024117
23074293.835379,0,8076884.532828,0,-7810598.974399,-83169.998799,-6210936.391394,-2017035.267952,-1793614.225123,97323.349898,1302897.636561,2140538.521088,1433286.496919,-67534.574429,157904.15718,-631558.642839
22963337.693563,0,7956891.365086,0,-7936190.99262,-195708.655492,-6201596.132598,-2135559.889521,-1519582.688767,180712.641332,1510073.300337,2320741.142124,1368418.317791,35624.862124,15835.640514,-747136.550268
24173791.249868,0,8500744.87861,0,-8183063.876648,-115657.049784,-6539455.810185,-2253741.489315,-1743511.61448,90774.873924,1494928.340953,2419661.579374,1447618.914623,43927.842915,64308.728078,-774029.025554
21899733.22015,0,7733618.41729,0,-7350297.269185,-86325.278758,-5913226.823403,-2042361.5015,-1584926.314475,59554.010844,1361854.733856,2167990.301094,1284910.428383,82238.161527,35196.663198,-693833.158486
18678636.115649,0,6517162.162757,0,-6343628.37467,-175553.944491,-4994897.734186,-1829630.951565,-1216616.460661,177469.70135,1199362.530601,2013770.274903,952095.195145,29617.847601,-102086.676492,-674636.156368
25824983.995711,0,9051009.57979,0,-8906225.63033,-109065.243374,-6986241.529163,-2435140.885093,-1477376.404082,54562.488496,1756568.875663,2628214.06141,1201784.516232,146999.260519,-204098.181996,-856859.832206
26730351.850054,0,9427236.462055,0,-9243304.674714,-32180.16346,-7342177.339928,-2471387.963369,-1572619.138142,-103783.193864,1862650.436811,2643707.743145,1266535.113097,348286.194037,-154122.716972,-757131.617744
21649677.249621,0,7757582.768833,0,-7238588.050426,9718.506978,-5933384.414035,-2063692.205551,-1475434.462181,-164266.741392,1359454.634188,2172324.57734,946068.261633,321059.709717,-110977.074725,-521158.539153
22415730.416078,0,8094527.524368,0,-7583163.023895,135101.366447,-6273565.599724,-2033414.500016,-1517961.017436,-359458.431336,1456066.503386,2131485.739943,1005744.386594,477176.052237,-42563.01847,-466962.649738
23881625.746186,0,8622968.220426,0,-7994457.943508,121614.399528,-6591696.646229,-2209107.296872,-1558591.062633,-348964.738053,1520045.130403,2251135.89964,1004452.393801,453809.20879,-51251.686694,-524333.84229
26065729.402069,0,9306783.378625,0,-8911954.76739,123256.002667,-7162148.120943,-2331638.328875,-1497163.845375,-344393.191324,1737146.395528,2329089.111962,1119371.559295,421760.905964,-43158.809712,-579134.536023
25862930.990483,0,9288016.465254,0,-8585668.857699,91546.071459,-7002524.056767,-2381644.423595,-1698266.39314,-242700.711518,1607903.550179,2355679.316935,1272519.264811,275838.996951,23134.599115,-656109.278667
